DriverNumber,GridPosition,Position,ClassifiedPosition,Status,Points,Round,Season,EventName,Winner
1,1.0,1.0,1,Finished,26.0,1,2024,Bahrain Grand Prix,0
11,5.0,2.0,2,Finished,18.0,1,2024,Bahrain Grand Prix,0
55,4.0,3.0,3,Finished,15.0,1,2024,Bahrain Grand Prix,0
16,2.0,4.0,4,Finished,12.0,1,2024,Bahrain Grand Prix,0
63,3.0,5.0,5,Finished,10.0,1,2024,Bahrain Grand Prix,0
4,7.0,6.0,6,Finished,8.0,1,2024,Bahrain Grand Prix,0
44,9.0,7.0,7,Finished,6.0,1,2024,Bahrain Grand Prix,0
81,8.0,8.0,8,Finished,4.0,1,2024,Bahrain Grand Prix,0
14,6.0,9.0,9,Finished,2.0,1,2024,Bahrain Grand Prix,0
18,12.0,10.0,10,Finished,1.0,1,2024,Bahrain Grand Prix,0
24,17.0,11.0,11,Lapped,0.0,1,2024,Bahrain Grand Prix,0
20,15.0,12.0,12,Lapped,0.0,1,2024,Bahrain Grand Prix,0
3,14.0,13.0,13,Lapped,0.0,1,2024,Bahrain Grand Prix,0
22,11.0,14.0,14,Lapped,0.0,1,2024,Bahrain Grand Prix,0
23,13.0,15.0,15,Lapped,0.0,1,2024,Bahrain Grand Prix,0
27,10.0,16.0,16,Lapped,0.0,1,2024,Bahrain Grand Prix,0
31,19.0,17.0,17,Lapped,0.0,1,2024,Bahrain Grand Prix,0
10,20.0,18.0,18,Lapped,0.0,1,2024,Bahrain Grand Prix,0
77,16.0,19.0,19,Lapped,0.0,1,2024,Bahrain Grand Prix,0
2,18.0,20.0,20,Lapped,0.0,1,2024,Bahrain Grand Prix,0
1,1.0,1.0,1,Finished,25.0,2,2024,Saudi Arabian Grand Prix,0
11,3.0,2.0,2,Finished,18.0,2,2024,Saudi Arabian Grand Prix,0
16,2.0,3.0,3,Finished,16.0,2,2024,Saudi Arabian Grand Prix,0
81,5.0,4.0,4,Finished,12.0,2,2024,Saudi Arabian Grand Prix,0
14,4.0,5.0,5,Finished,10.0,2,2024,Saudi Arabian Grand Prix,0
63,7.0,6.0,6,Finished,8.0,2,2024,Saudi Arabian Grand Prix,0
38,11.0,7.0,7,Finished,6.0,2,2024,Saudi Arabian Grand Prix,0
4,6.0,8.0,8,Finished,4.0,2,2024,Saudi Arabian Grand Prix,0
44,8.0,9.0,9,Finished,2.0,2,2024,Saudi Arabian Grand Prix,0
27,15.0,10.0,10,Finished,1.0,2,2024,Saudi Arabian Grand Prix,0
23,12.0,11.0,11,Finished,0.0,2,2024,Saudi Arabian Grand Prix,0
20,13.0,12.0,12,Finished,0.0,2,2024,Saudi Arabian Grand Prix,0
31,17.0,13.0,13,Lapped,0.0,2,2024,Saudi Arabian Grand Prix,0
2,19.0,14.0,14,Lapped,0.0,2,2024,Saudi Arabian Grand Prix,0
22,9.0,15.0,15,Lapped,0.0,2,2024,Saudi Arabian Grand Prix,0
3,14.0,16.0,16,Lapped,0.0,2,2024,Saudi Arabian Grand Prix,0
